Elmo txt chart ver 2.0

[File Properties]
Creation Time,2026-04-14 05:32:28
Last Updated,2026-04-14 05:32:28
Resolution,0.001
Sampling Time,0.001
Recording Time,5.001
Trigger Location Index,0

[Chart Properties]
No.,Name,X Linear,Dimension,Min X Scale,Max X Scale,Min Y Scale,Max Y Scale
1,Chart #1,True,1D,1.07659902693723,1.37682449270203,-564358.680457612,8690444.52773893

[Chart Data]
Display No.,X No.,Y No.,Z No.,X Unit,Y Unit,Color,Style,Width,Hex Display,X Hex Display,Z Hex Display,Zero Scale
1,1,2,0,sec,N/A,ff0000ff,Solid,TwoPoint,Dec,Dec,Dec,False
1,1,3,0,sec,N/A,ff007f00,Solid,TwoPoint,Dec,Dec,Dec,False
1,1,4,0,sec,N/A,ffff0000,Solid,TwoPoint,Dec,Dec,Dec,False

[Signal Names]
1,Time (sec),False
2,a01.Position Command (0x607A) [cnt],False
3,a01.Actual Position (0x6064) [cnt],False
4,a01.Target position [cnt],False

[Signals Data Group 1]
1,2,3,4,
0.379,4357657,4584727,4357657.48166639,
0.38,4308724,4535948,4308723.98166639,
0.381,4259790,4487320,4259790.48166639,
0.382,4210857,4438766,4210856.98166639,
0.383,4161923,4390008,4161923.48166639,
0.384,4112990,4341079,4112989.98166639,
0.385,4064056,4292291,4064056.48166639,
0.386,4015123,4243973,4015122.98166639,
0.387,3966189,4195796,3966189.48166639,
0.388,3917256,4148444,3917255.98166639,
0.389,3868322,4101362,3868322.48166639,
0.39,3819389,4053979,3819388.98166639,
0.391,3770455,4006467,3770455.48166639,
0.392,3721522,3958868,3721521.98166639,
0.393,3672588,3911278,3672588.48166639,
0.394,3623655,3863603,3623654.98166639,
0.395,3574721,3815293,3574721.48166639,
0.396,3525788,3766787,3525787.98166639,
0.397,3476854,3717946,3476854.48166639,
0.398,3427921,3668828,3427920.98166639,
0.399,3378987,3619766,3378987.48166639,
0.4,3330054,3570237,3330053.98166639,
0.401,3281120,3520524,3281120.48166639,
0.402,3232187,3470826,3232186.98166639,
0.403,3183253,3420861,3183253.48166639,
0.404,3134320,3370653,3134319.98166639,
0.405,3085386,3319931,3085386.48166639,
0.406,3036453,3269081,3036452.98166639,
0.407,2987519,3218675,2987519.48166639,
0.408,2938586,3168402,2938585.98166639,
0.409,2889652,3118342,2889652.48166639,
0.41,2840719,3068469,2840718.98166639,
0.411,2791785,3018820,2791785.48166639,
0.412,2742852,2969344,2742851.98166639,
0.413,2693918,2920037,2693918.48166639,
0.414,2644985,2870987,2644984.98166639,
0.415,2596051,2822114,2596051.48166639,
0.416,2547118,2773232,2547117.98166639,
0.417,2498184,2724570,2498184.48166639,
0.418,2449251,2676262,2449250.98166639,
0.419,2400317,2628521,2400317.48166639,
0.42,2351384,2581119,2351383.98166639,
0.421,2302450,2533897,2302450.48166639,
0.422,2253517,2486964,2253516.98166639,
0.423,2204583,2440771,2204583.48166639,
0.424,2155650,2394529,2155649.98166639,
0.425,2106716,2348026,2106716.48166639,
0.426,2057783,2301399,2057782.98166639,
0.427,2008849,2254588,2008849.48166639,
0.428,1959916,2207344,1959915.98166639,
0.429,1910982,2159445,1910982.48166639,
